{'MatricNum': 507750987, 'FirstName': 'James', 'LastName': 'Butt'}
{'MatricNum': 929203906, 'FirstName': 'Josephine', 'LastName': 'Darakjy'}
{'MatricNum': 643254611, 'FirstName': 'Art', 'LastName': 'Venere'}
{'MatricNum': 236933894, 'FirstName': 'Lenna', 'LastName': 'Paprocki'}
{'MatricNum': 230055985, 'FirstName': 'Donette', 'LastName': 'Foller'}
{'MatricNum': 805952073, 'FirstName': 'Simona', 'LastName': 'Morasca'}
{'MatricNum': 624931367, 'FirstName': 'Mitsue', 'LastName': 'Tollner'}
{'MatricNum': 372352703, 'FirstName': 'Leota', 'LastName': 'Dilliard'}
{'MatricNum': 802636307, 'FirstName': 'Sage', 'LastName': 'Wieser'}
{'MatricNum': 832203910, 'FirstName': 'Kris', 'LastName': 'Marrier'}
{'MatricNum': 419666636, 'FirstName': 'Minna', 'LastName': 'Amigon'}
{'MatricNum': 965532054, 'FirstName': 'Abel', 'LastName': 'Maclead'}
{'MatricNum': 359088109, 'FirstName': 'Kiley', 'LastName': 'Caldarera'}
{'MatricNum': 808620446, 'FirstName': 'Graciela', 'LastName': 'Ruta'}
{'MatricNum': 800078878, 'FirstName': 'Cammy', 'LastName': 'Albares'}
{'MatricNum': 535726818, 'FirstName': 'Mattie', 'LastName': 'Poquette'}
{'MatricNum': 135545733, 'FirstName': 'Meaghan', 'LastName': 'Garufi'}
{'MatricNum': 466085694, 'FirstName': 'Gladys', 'LastName': 'Rim'}
{'MatricNum': 918735967, 'FirstName': 'Yuki', 'LastName': 'Whobrey'}
{'MatricNum': 744370218, 'FirstName': 'Fletcher', 'LastName': 'Flosi'}
{'MatricNum': 717640180, 'FirstName': 'Bette', 'LastName': 'Nicka'}
{'MatricNum': 916688354, 'FirstName': 'Veronika', 'LastName': 'Inouye'}
{'MatricNum': 154246242, 'FirstName': 'Willard', 'LastName': 'Kolmetz'}
{'MatricNum': 246099517, 'FirstName': 'Maryann', 'LastName': 'Royster'}
{'MatricNum': 869185489, 'FirstName': 'Alisha', 'LastName': 'Slusarski'}
{'MatricNum': 632682756, 'FirstName': 'Allene', 'LastName': 'Iturbide'}
{'MatricNum': 155674004, 'FirstName': 'Chanel', 'LastName': 'Caudy'}
{'MatricNum': 427414616, 'FirstName': 'Ezekiel', 'LastName': 'Chui'}
{'MatricNum': 794901782, 'FirstName': 'Willow', 'LastName': 'Kusko'}
{'MatricNum': 581226645, 'FirstName': 'Bernardo', 'LastName': 'Figeroa'}
{'MatricNum': 941637933, 'FirstName': 'Ammie', 'LastName': 'Corrio'}
{'MatricNum': 414397003, 'FirstName': 'Francine', 'LastName': 'Vocelka'}
{'MatricNum': 293073546, 'FirstName': 'Ernie', 'LastName': 'Stenseth'}
{'MatricNum': 890419316, 'FirstName': 'Albina', 'LastName': 'Glick'}
