
Tutorial: Thursday week: 13 - 2020-01-23 09:00:00

Mollie Mcdoniel 105801657 - Overall Attendance: 57%
Arthur Farrow 991639210 - Overall Attendance: 50%
Vilma Berlanga 626964523 - Overall Attendance: 50%
Glenna Slayton 585518693 - Overall Attendance: 57%
Mitzie Hudnall 188116045 - Overall Attendance: 64%
Nichelle Meteer 934841901 - Overall Attendance: 50%
Janine Rhoden 351261296 - Overall Attendance: 64%
Ettie Hoopengardner 462580098 - Overall Attendance: 50%
Lynelle Auber 300794739 - Overall Attendance: 57%
Merissa Tomblin 688431886 - Overall Attendance: 42%
Golda Kaniecki 771575906 - Overall Attendance: 64%
Catarina Gleich 708348101 - Overall Attendance: 78%
Keneth Borgman 821910408 - Overall Attendance: 71%
Trinidad Mcrae 487900413 - Overall Attendance: 71%
Iluminada Ohms 182868494 - Overall Attendance: 71%
Caprice Suell 738366723 - Overall Attendance: 71%
Stephane Myricks 822809635 - Overall Attendance: 64%
Daniel Perruzza 584617488 - Overall Attendance: 57%
Cassi Wildfong 886688043 - Overall Attendance: 71%

Lab: Friday week: 13 - 2020-01-24 13:00:00

Cordelia Storment 943699987 - Overall Attendance: 42%
Mollie Mcdoniel 105801657 - Overall Attendance: 57%
Brett Mccullan 169196204 - Overall Attendance: 64%
Tasia Andreason 203886203 - Overall Attendance: 57%
Hubert Walthall 430483393 - Overall Attendance: 78%
Billye Miro 938265054 - Overall Attendance: 57%
Bernardine Rodefer 431485586 - Overall Attendance: 64%
Ettie Hoopengardner 462580098 - Overall Attendance: 50%
Eden Jayson 164113950 - Overall Attendance: 50%
Keneth Borgman 821910408 - Overall Attendance: 71%
Elke Sengbusch 780744163 - Overall Attendance: 57%
Selma Husser 638824391 - Overall Attendance: 57%
Dick Wenzinger 117724618 - Overall Attendance: 71%
Ahmed Angalich 695168303 - Overall Attendance: 57%
Quentin Swayze 839115378 - Overall Attendance: 71%
Jeanice Claucherty 282004437 - Overall Attendance: 85%
