
Lecture: Monday week: 1 - 2019-09-16 16:00:00

Mollie Mcdoniel 105801657 - Overall Attendance: 65%
Eden Jayson 164113950 - Overall Attendance: 69%
Lynelle Auber 300794739 - Overall Attendance: 43%
Merissa Tomblin 688431886 - Overall Attendance: 60%
Virgie Kiel 466206025 - Overall Attendance: 56%
Mari Lueckenbach 527459642 - Overall Attendance: 82%
Luisa Jurney 793584362 - Overall Attendance: 69%
Dick Wenzinger 117724618 - Overall Attendance: 56%
Ahmed Angalich 695168303 - Overall Attendance: 52%
Caprice Suell 738366723 - Overall Attendance: 56%
Stephane Myricks 822809635 - Overall Attendance: 69%
Cecil Lapage 958610547 - Overall Attendance: 69%
Daniel Perruzza 584617488 - Overall Attendance: 65%
Adell Lipkin 514020259 - Overall Attendance: 60%

Lab: Friday week: 1 - 2019-09-20 15:00:00

Mollie Mcdoniel 105801657 - Overall Attendance: 65%
Hubert Walthall 430483393 - Overall Attendance: 52%
Arthur Farrow 991639210 - Overall Attendance: 60%
Mitzie Hudnall 188116045 - Overall Attendance: 65%
Staci Schmaltz 761455648 - Overall Attendance: 73%
Ettie Hoopengardner 462580098 - Overall Attendance: 43%
Lynelle Auber 300794739 - Overall Attendance: 43%
Keneth Borgman 821910408 - Overall Attendance: 65%
Trinidad Mcrae 487900413 - Overall Attendance: 60%
Dick Wenzinger 117724618 - Overall Attendance: 56%
Ahmed Angalich 695168303 - Overall Attendance: 52%
Jeanice Claucherty 282004437 - Overall Attendance: 60%
Josphine Villanueva 229609193 - Overall Attendance: 73%
Cassi Wildfong 886688043 - Overall Attendance: 60%
Britt Galam 911877236 - Overall Attendance: 43%

Lecture: Monday week: 2 - 2019-09-23 11:00:00

Tasia Andreason 203886203 - Overall Attendance: 73%
Hubert Walthall 430483393 - Overall Attendance: 52%
Arthur Farrow 991639210 - Overall Attendance: 60%
Vilma Berlanga 626964523 - Overall Attendance: 65%
Ettie Hoopengardner 462580098 - Overall Attendance: 43%
Eden Jayson 164113950 - Overall Attendance: 69%
Lynelle Auber 300794739 - Overall Attendance: 43%
Virgie Kiel 466206025 - Overall Attendance: 56%
Luisa Jurney 793584362 - Overall Attendance: 69%
Clorinda Heimann 268919360 - Overall Attendance: 56%
