MatricNum,FirstName,LastName
965967719,Portia,Stimmel
112510004,Rhea,Aredondo
449780434,Benedict,Sama
963965164,Alyce,Arias
630714190,Heike,Berganza
716990605,Carey,Dopico
331744360,Dottie,Hellickson
644914611,Deandrea,Hughey
994962415,Kimberlie,Duenas
490424692,Martina,Staback
840579417,Skye,Fillingim
840557539,Jade,Farrar
434140965,Charlene,Hamilton
131551501,Geoffrey,Acey
348487724,Stevie,Westerbeck
335105897,Pamella,Fortino
557204362,Harrison,Haufler
672799144,Johnna,Engelberg
766903499,Buddy,Cloney
629670793,Dalene,Riden
156503469,Jerry,Zurcher
524707794,Haydee,Denooyer
561572526,Joseph,Cryer
149581572,Deonna,Kippley
588871889,Raymon,Calvaresi
